"dep";"mood_irritat";"pat_agitate";"se_selfdoub";"event_pleas";"event_disturb";"time"
-0,977215663338663;-2,31161594413409;-3,31488998923414;-3,19023109845083;1,23967604720222;-6,23422380691086;127
-1,01610002563015;-4,77951093425816;-4,77709714455942;-4,86531296187857;1,83042562596499;-5,83416394959647;128
-0,951356885927576;-3,66768786447391;-4,67500678156797;-2,40861891968322;-0,486919878378669;-6,50119218110423;129
-1,04002077044817;-5,44891322838559;-4,44318672488879;-2,662276548723;-0,42368570696047;-6,58690316832036;130
-0,959642747683748;-4,55752727909367;-3,5632413719354;-3,34203649728154;0,428675429650565;-6,41794242129144;131
-1,03890231734705;-2,46156079872855;-2,45640253736005;-2,67030257677114;0,586733479392737;-5,59645997101053;132
-1,00274280386723;-1,96202701928307;-1,96163996625894;-1,97672982188466;-1,02915667760462;-5,97153078371696;133
-1,02311446184789;-1,67977527743111;-2,67641449727064;-2,80360894346823;-1,24600131105831;-5,75999859882094;134
-0,986607600021376;-3,18566179079109;-3,1876419076532;-3,11392377840226;1,14265431167441;-7,13916083720044;135
-0,987192071755352;-2,17727894264982;-2,17906804355959;-2,10872330318744;-0,86381659184918;-6,13289149083207;136
-1,02647556428977;-0,633409065264677;-1,62970838766157;-1,77504599058158;-1,28173078963348;-4,72513647445234;137
-1,00791752659018;-0,890413941153604;-1,88929440397966;-0,932742594215997;-1,08422811167182;-4,91782500654921;138
-1,00172218713638;-0,976170508896361;-0,975927487347234;-0,985380220784618;-2,01831482199786;-3,98213104364726;139
-1,01415205089138;-0,804182495421367;-1,8021438688037;-1,87983954530281;-1,15056538191746;-3,85311064924457;140
-0,98506281654694;-1,20686292598443;-1,20910938438697;-1,12704381131074;-1,84084727895104;-3,1551962296836;141
-1,01737899555192;-2,75895421777949;-2,75615288178882;-1,8517807992615;0,814397403161445;-4,81906313658783;142
-0,952016227847971;-2,66680509947243;-2,67494500135694;-2,41051343087375;-0,485931239498533;-6,50095550463834;143
-1,02157846886156;-1,69927482555981;-0,695536326499373;-0,814877901245189;-1,23191264852118;-5,77438250268838;144
-1,01067523799877;-2,85146800206803;-1,84966117642552;-1,90855777102071;-1,11453957697388;-2,88854853039413;145
-2,14114017354386;-3,17655536604652;-3,17879876549988;-1,10879690236011;0,136190141980318;-6,13200125787363;146
-2,12811890987019;-3,93795330474912;-2,93664490015056;-2,9619260029342;1,95231870022117;-6,9539415148829;147
-2,1332300697239;-1,258577118279;-2,26149876939717;-2,15924016520348;-0,800566096229267;-5,19293660995846;148
-2,20412070785151;-2,36853700641805;-2,36224010226869;-0,61102655863822;0,512637416794446;-5,52850188061492;149
-2,11933971848808;-2,43353824608793;-2,43765315584622;-1,26618098266114;-1,66540328969008;-4,32373435721514;150
-2,18676480688255;-1,58501940979004;-0,581073234712136;-0,745384016937093;-1,32041313166301;-4,68995428133614;151
-2,15762239632689;-0,952236290943668;-1,95183597921707;-0,970711967704867;-1,03685623282993;-4,96432841942422;152
-2,15073957446099;-2,03873987643332;-2,03906335822373;-1,02377024245191;0,0299147869787661;-6,02894882605405;153
